City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,constitucion,-35.3333,-72.4167,285.54,91,3,6.2,CL,1682295138
123,thompson,55.7435,-97.8558,272.9,84,87,1.96,CA,1682295138
124,helensburgh,56.0061,-4.7265,279.49,72,89,2.03,GB,1682295139
125,saynshand,44.8824,110.1163,281.65,18,100,3.94,MN,1682295139
126,langepas,61.2544,75.2124,276.15,99,100,4.13,RU,1682295139
127,tosontsengel,48.7567,98.2839,268.64,82,56,0.67,MN,1682295140
128,tsiombe,-25.3,45.4833,293.43,87,88,3.16,MG,1682295140
129,coari,-4.085,-63.1414,296.42,96,98,1.24,BR,1682295140
130,kodiak,57.79,-152.4072,277.88,36,20,8.75,US,1682295140
131,yaren,-0.5472,166.916,301.81,77,81,5.49,NR,1682295140
132,rongelap,11.1635,166.8941,300.3,83,51,10.23,MH,1682295141
133,papatowai,-46.5619,169.4708,283.5,72,58,8.99,NZ,1682295141
134,tolanaro,-25.0319,46.9987,293.86,96,99,2.13,MG,1682295141
135,utrik,11.2278,169.8474,300.27,81,54,9.78,MH,1682295142
136,tezu,27.9167,96.1667,292.08,92,100,1.1,IN,1682295142
137,tralee,52.2704,-9.7026,279.63,93,17,2.55,IE,1682295007
138,cockburn town,21.4612,-71.1419,296.13,83,40,2.57,TC,1682295142
139,aasiaat,68.7098,-52.8699,272.93,99,100,3.59,GL,1682295142
140,titao,13.7667,-2.0667,304.63,6,24,0.27,BF,1682295143
141,portland,45.5234,-122.6762,286.38,70,100,3.58,US,1682295065
142,racale,39.9631,18.0938,287.5,86,13,5.26,IT,1682295143
143,san antonio de pale,-1.4014,5.6325,300.9,76,44,3.94,GQ,1682295143
144,basco,20.4487,121.9702,297.92,75,5,6.2,PH,1682295143
145,port douglas,-16.4833,145.4667,299.01,84,76,9.11,AU,1682295144
146,kulhudhuffushi,6.6221,73.07,302.55,67,93,4.82,MV,1682295144
147,anadyr,64.75,177.4833,268.43,79,20,13.86,RU,1682295144
148,ribeira grande,38.5167,-28.7,290.8,96,100,8.49,PT,1682295144
149,tura,25.5198,90.2201,290.56,75,7,2.21,IN,1682295145
150,bahir dar,11.5936,37.3908,294.54,44,58,2.51,ET,1682295145
151,college,64.8569,-147.8028,264.86,60,100,10.29,US,1682294876
152,bac kan,22.1333,105.8333,297.5,95,97,0.59,VN,1682295145
153,egersund,58.4513,5.9997,280.98,91,100,1.6,NO,1682295145
154,guane,22.2025,-84.0875,299.04,56,4,3.84,CU,1682295146
155,westport,41.1415,-73.3579,289.14,74,100,2.06,US,1682295040
156,tulun,54.5611,100.5792,274.07,58,2,2.87,RU,1682295146
157,iskateley,67.6803,53.1512,264.59,92,27,6.28,RU,1682295146
158,remire-montjoly,4.9167,-52.2667,298.17,94,100,1.03,GF,1682294937
159,timbauba,-7.5053,-35.3183,295.71,91,96,2.33,BR,1682295070
160,xining,36.6167,101.7667,275.27,94,100,1.22,CN,1682295147
161,mogok,22.9167,96.5,289.8,84,10,0.82,MM,1682295147
162,miguel hidalgo,19.4225,-99.2028,299.59,14,40,6.17,MX,1682295147
163,ar ruways,24.1103,52.7306,299.4,53,0,3.98,AE,1682295147
164,tutong,4.8,114.65,301.2,77,55,2.06,BN,1682295147
165,geraldton,-28.7667,114.6,294.38,64,98,5.14,AU,1682295148
166,massawa,15.6097,39.45,302.95,73,56,1.2,ER,1682295148
167,kolonia,50.9333,6.95,284.79,76,20,3.09,DE,1682295148
168,northam,51.0333,-4.2167,281.82,91,24,3.86,GB,1682295148
169,tibati,6.4667,12.6333,293.87,93,91,0.85,CM,1682295148
170,ust-nera,64.5667,143.2,268.34,87,100,3.76,RU,1682295148
171,alakurtti,66.9672,30.3491,264.77,96,100,0.72,RU,1682295149
172,estevan,49.1334,-102.9842,278.34,61,20,2.82,CA,1682295149
173,kidal,18.4411,1.4078,303.71,12,82,3.31,ML,1682295149
174,port mathurin,-19.6833,63.4167,299.44,80,13,8.35,MU,1682295149
175,sitka,57.0531,-135.33,280.09,87,100,7.72,US,1682295003
176,broome,42.2506,-75.833,279.65,93,100,3.6,US,1682295150
177,mount pearl,47.5166,-52.7813,275.9,95,100,3.58,CA,1682295150
178,bahawalpur,29.4,71.6833,297.62,18,0,2.03,PK,1682295150
179,mabaruma,8.2,-59.7833,296.2,96,100,0.19,GY,1682295150
180,vernon,50.2581,-119.2691,283.31,76,100,0.45,CA,1682295111
181,nemuro,43.3236,145.575,277.07,73,60,2.37,JP,1682295150
182,papao,-17.75,-149.55,301.97,86,100,3.11,PF,1682295151
183,caluula,11.9661,50.7569,300.6,65,14,2.04,SO,1682295151
184,georgetown,5.4112,100.3354,299.11,89,20,0.0,MY,1682294905
185,corner brook,48.9667,-57.9484,276.73,95,100,2.09,CA,1682295151
